Car Name,Specs,Price
Used 2013 Ford Mustang Shelby GT500 Coupe,"Mileage:9,534 milesMPG:15city /24hwyColor:BlueBody Style:CoupeEngine:8 Cyl 5.8 LTransmission:Manual","Price:$66,000"
Used 2013 Ford Mustang Shelby GT500 Coupe,"Mileage:18,958 milesMPG:15city /24hwyColor:WhiteBody Style:CoupeEngine:8 Cyl 5.8 LTransmission:Manual","Price:$58,900"
Used 2013 Ford Mustang Shelby GT500 Coupe,"Mileage:23,447 milesMPG:15city /24hwyColor:BlackBody Style:CoupeEngine:8 Cyl 5.8 LTransmission:Manual","Price:$64,491"
Used 2013 Ford Mustang Shelby GT500 Convertible,"Mileage:12,367 milesMPG:15city /24hwyColor:BlackBody Style:ConvertibleEngine:8 Cyl 5.8 LTransmission:Manual",Call for Price
Used 2013 Ford Mustang Shelby GT500 Coupe,"Mileage:5,813 milesMPG:15city /24hwyColor:BlackBody Style:CoupeEngine:8 Cyl 5.8 LTransmission:Manual",Call for Price
Used 2013 Ford Mustang Shelby GT500 Coupe,"Mileage:28,687 milesMPG:15city /24hwyColor:BlackBody Style:CoupeEngine:8 Cyl 5.8 LTransmission:Manual","Price:$51,899"
Used 2014 Ford Mustang Shelby GT500 Coupe,"Mileage:93,181 milesMPG:15city /24hwyColor:WhiteBody Style:CoupeEngine:8 Cyl 5.8 LTransmission:Manual","Price:$38,995"
Used 2014 Ford Mustang Shelby GT500 Coupe,"Mileage:56,125 milesMPG:15city /24hwyColor:BlackBody Style:CoupeEngine:8 Cyl 5.8 LTransmission:Manual","Price:$39,995"
Used 2014 Ford Mustang Shelby GT500 Coupe,"Mileage:17,869 milesMPG:15city /24hwyColor:BlackBody Style:CoupeEngine:8 Cyl 5.8 LTransmission:Manual","Price:$57,900"
Used 2014 Ford Mustang Shelby GT500 Coupe,"Mileage:19,444 milesMPG:15city /24hwyColor:WhiteBody Style:CoupeEngine:8 Cyl 5.8 LTransmission:Manual","Price:$56,997"
Used 2014 Ford Mustang Shelby GT500 Coupe,"Mileage:4,793 milesMPG:15city /24hwyColor:BlackBody Style:CoupeEngine:8 Cyl 5.8 LTransmission:Manual","Price:$62,995"
Used 2014 Ford Mustang Shelby GT500 Coupe,"Mileage:24,010 milesMPG:15city /24hwyBody Style:CoupeEngine:8 Cyl 5.8 LTransmission:Manual","Price:$55,859"
Used 2014 Ford Mustang Shelby GT500 Coupe,"Mileage:6,438 milesMPG:15city /24hwyColor:BlackBody Style:CoupeEngine:8 Cyl 5.8 LTransmission:Manual","Price:$62,995"
Used 2014 Ford Mustang Shelby GT500 Coupe,"Mileage:79,174 milesMPG:15city /24hwyColor:RedBody Style:CoupeEngine:8 Cyl 5.8 LTransmission:Manual","Price:$41,703"
Used 2014 Ford Mustang Shelby GT500 Convertible,"Mileage:9,211 milesMPG:15city /24hwyColor:BlackBody Style:ConvertibleEngine:8 Cyl 5.8 LTransmission:Manual","Price:$79,400"
Used 2014 Ford Mustang Shelby GT500 Coupe,"Mileage:56,885 milesMPG:15city /24hwyColor:BlackBody Style:CoupeEngine:8 Cyl 5.8 LTransmission:Manual","Price:$47,990"
Used 2014 Ford Mustang Shelby GT500 Coupe,"Mileage:12,438 milesMPG:15city /24hwyColor:BlackBody Style:CoupeEngine:8 Cyl 5.8 LTransmission:Manual","Price:$59,500"
Used 2014 Ford Mustang Shelby GT500 Coupe,"Mileage:41,037 milesMPG:15city /24hwyColor:BlackBody Style:CoupeEngine:8 Cyl 5.8 LTransmission:Manual","Price:$53,999"
Used 2014 Ford Mustang Shelby GT500 Coupe,"Mileage:4,113 milesMPG:15city /24hwyColor:BlackBody Style:CoupeEngine:8 Cyl 5.8 LTransmission:Manual","Price:$63,999"
Used 2014 Ford Mustang Shelby GT500 Coupe,"Mileage:9,481 milesMPG:15city /24hwyColor:BlueBody Style:CoupeEngine:8 Cyl 5.8 LTransmission:Manual","Price:$69,991"
Used 2014 Ford Mustang Shelby GT500 Coupe,"Mileage:64,978 milesMPG:15city /24hwyColor:RedBody Style:CoupeEngine:8 Cyl 5.8 LTransmission:Manual","Price:$45,800"
Used 2014 Ford Mustang Shelby GT500 Coupe,"Mileage:55,059 milesMPG:15city /24hwyColor:GrayBody Style:CoupeEngine:8 Cyl 5.8 LTransmission:Manual","Price:$46,500"
Used 2014 Ford Mustang Shelby GT500 Coupe,"Mileage:20,611 milesMPG:15city /24hwyColor:BlueBody Style:CoupeEngine:8 Cyl 5.8 LTransmission:Manual","Price:$59,995"
Used 2014 Ford Mustang Shelby GT500 Coupe,Mileage:705 milesMPG:15city /24hwyColor:WhiteBody Style:CoupeEngine:8 Cyl 5.8 LTransmission:Manual,"Price:$79,950"
Used 2014 Ford Mustang Shelby GT500 Coupe,"Mileage:17,518 milesMPG:15city /24hwyColor:BlackBody Style:CoupeEngine:8 Cyl 5.8 LTransmission:Manual","Price:$58,295"
Used 2014 Ford Mustang Shelby GT500 Coupe,"Mileage:20,425 milesMPG:15city /24hwyColor:RedBody Style:CoupeEngine:8 Cyl 5.8 LTransmission:Manual","Price:$59,900"
Used 2014 Ford Mustang Shelby GT500 Coupe,"Mileage:7,697 milesMPG:15city /24hwyColor:WhiteBody Style:CoupeEngine:8 Cyl 5.8 LTransmission:Manual","Price:$64,999"
Used 2014 Ford Mustang Shelby GT500 Coupe,"Mileage:10,383 milesMPG:15city /24hwyColor:BlueBody Style:CoupeEngine:8 Cyl 5.8 LTransmission:Manual","Price:$69,995"
